.streams.0.codec_name,.streams.0.codec_type,.streams.0.width,.streams.0.height,.streams.0.pix_fmt,.streams.0.avg_frame_rate,.streams.0.duration,.streams.0.nb_frames,.format.filename,.format.format_name,.format.size,.format.bit_rate,.frame.B,.frame.I,.frame.P
hevc,video,1366,720,yuv420p,30000/1001,10.01,300,001_hevc_720p.mp4,"mov,mp4,m4a,3gp,3g2,mj2",8464185,6764583,222,2,76
hevc,video,8192,4320,yuv420p,30000/1001,10.01,300,001_hevc_8K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",199132013,159146463,222,2,76
mjpeg,video,2048,1366,yuvj444p,25-Jan,0.04,1,001_mpeg_1K.jpg,image2,340915,-1,0,1,0
mjpeg,video,2732,1822,yuvj444p,25-Jan,0.04,1,001_mpeg_2K.jpg,image2,486910,-1,0,1,0
mjpeg,video,910,607,yuvj444p,25-Jan,0.04,1,001_mpeg_480p.jpg,image2,129171,-1,0,1,0
mjpeg,video,4096,2732,yuvj444p,25-Jan,0.04,1,001_mpeg_4K.jpg,image2,814485,-1,0,1,0
mjpeg,video,1366,911,yuvj444p,25-Jan,0.04,1,001_mpeg_720p.jpg,image2,216742,-1,0,1,0
mjpeg,video,8192,5464,yuvj444p,25-Jan,0.04,1,001_mpeg_8K.jpg,image2,2257851,-1,0,1,0
png,video,2048,1366,rgb48be,25-Jan,0.04,1,001_png_1K.png,png_pipe,16543343,-1,0,1,0
png,video,2732,1822,rgb48be,25-Jan,0.04,1,001_png_2K.png,png_pipe,29435596,-1,0,1,0
png,video,910,607,rgb48be,25-Jan,0.04,1,001_png_480p.png,png_pipe,3278401,-1,0,1,0
png,video,4096,2732,rgb48be,25-Jan,0.04,1,001_png_4K.png,png_pipe,66090674,-1,0,1,0
png,video,1366,911,rgb48be,25-Jan,0.04,1,001_png_720p.png,png_pipe,7374721,-1,0,1,0
png,video,8192,5464,rgb48be,25-Jan,0.04,1,001_png_8K.png,png_pipe,259179593,-1,0,1,0
webp,video,2048,1366,yuv420p,25-Jan,0.04,1,001_webp_1K.webp,webp_pipe,338314,-1,0,1,0
webp,video,2732,1822,yuv420p,25-Jan,0.04,1,001_webp_2K.webp,webp_pipe,532300,-1,0,1,0
webp,video,910,607,yuv420p,25-Jan,0.04,1,001_webp_480p.webp,webp_pipe,101278,-1,0,1,0
webp,video,4096,2732,yuv420p,25-Jan,0.04,1,001_webp_4K.webp,webp_pipe,1172840,-1,0,1,0
webp,video,1366,911,yuv420p,25-Jan,0.04,1,001_webp_720p.webp,webp_pipe,184320,-1,0,1,0
webp,video,8192,5464,yuv420p,25-Jan,0.04,1,001_webp_8K.webp,webp_pipe,6265130,-1,0,1,0
av1,video,2048,1080,yuv420p,30000/1001,10.01,300,002_av1_1K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",5568509,4450356,0,1,299
av1,video,2731,1440,yuv420p,30000/1001,10.01,300,002_av1_2K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",10438972,8342834,0,1,299
av1,video,910,480,yuv420p,30000/1001,10.01,300,002_av1_480p.mp4,"mov,mp4,m4a,3gp,3g2,mj2",2411666,1927405,0,1,299
av1,video,4096,2160,yuv420p,30000/1001,10.01,300,002_av1_4K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",18180107,14529556,0,1,299
av1,video,1365,720,yuv420p,30000/1001,10.01,300,002_av1_720p.mp4,"mov,mp4,m4a,3gp,3g2,mj2",3608709,2884083,0,1,299
av1,video,8192,4320,yuv420p,30000/1001,10.01,300,002_av1_8K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",76998978,61537644,0,1,299
h264,video,2048,1080,yuv420p,30000/1001,10.01,300,002_h264_1K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",9137150,7302417,222,2,76
h264,video,2731,1440,yuv420p,30000/1001,10.01,300,002_h264_2K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",16942051,13540100,222,2,76
h264,video,910,480,yuv420p,30000/1001,10.01,300,002_h264_480p.mp4,"mov,mp4,m4a,3gp,3g2,mj2",2695596,2154322,222,2,76
h264,video,4096,2160,yuv420p,30000/1001,10.01,300,002_h264_4K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",41097132,32844860,222,2,76
h264,video,1365,720,yuv420p,30000/1001,10.01,300,002_h264_720p.mp4,"mov,mp4,m4a,3gp,3g2,mj2",4708436,3762985,222,2,76
h264,video,8192,4320,yuv420p,30000/1001,10.01,300,002_h264_8K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",194860216,155732440,223,2,75
hevc,video,2048,1080,yuv420p,30000/1001,10.01,300,002_hevc_1K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",8130579,6497965,222,2,76
hevc,video,2732,1440,yuv420p,30000/1001,10.01,300,002_hevc_2K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",13727575,10971088,222,2,76
hevc,video,910,480,yuv420p,30000/1001,10.01,300,002_hevc_480p.mp4,"mov,mp4,m4a,3gp,3g2,mj2",2390645,1910605,222,2,76
hevc,video,4096,2160,yuv420p,30000/1001,10.01,300,002_hevc_4K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",30400592,24296177,222,2,76
hevc,video,1366,720,yuv420p,30000/1001,10.01,300,002_hevc_720p.mp4,"mov,mp4,m4a,3gp,3g2,mj2",4152009,3318288,222,2,76
hevc,video,8192,4320,yuv420p,30000/1001,10.01,300,002_hevc_8K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",125211209,100068898,222,2,76
mjpeg,video,2048,1366,yuvj444p,25-Jan,0.04,1,002_mpeg_1K.jpg,image2,158409,-1,0,1,0
mjpeg,video,2732,1822,yuvj444p,25-Jan,0.04,1,002_mpeg_2K.jpg,image2,235624,-1,0,1,0
mjpeg,video,910,607,yuvj444p,25-Jan,0.04,1,002_mpeg_480p.jpg,image2,54365,-1,0,1,0
mjpeg,video,4096,2732,yuvj444p,25-Jan,0.04,1,002_mpeg_4K.jpg,image2,424130,-1,0,1,0
mjpeg,video,1366,911,yuvj444p,25-Jan,0.04,1,002_mpeg_720p.jpg,image2,90673,-1,0,1,0
mjpeg,video,8192,5464,yuvj444p,25-Jan,0.04,1,002_mpeg_8K.jpg,image2,1264434,-1,0,1,0
png,video,2048,1366,rgb48be,25-Jan,0.04,1,002_png_1K.png,png_pipe,16477058,-1,0,1,0
png,video,2732,1822,rgb48be,25-Jan,0.04,1,002_png_2K.png,png_pipe,29367284,-1,0,1,0
png,video,910,607,rgb48be,25-Jan,0.04,1,002_png_480p.png,png_pipe,3262821,-1,0,1,0
png,video,4096,2732,rgb48be,25-Jan,0.04,1,002_png_4K.png,png_pipe,65648325,-1,0,1,0
png,video,1366,911,rgb48be,25-Jan,0.04,1,002_png_720p.png,png_pipe,7342800,-1,0,1,0
png,video,8192,5464,rgb48be,25-Jan,0.04,1,002_png_8K.png,png_pipe,258352600,-1,0,1,0
webp,video,2048,1366,yuv420p,25-Jan,0.04,1,002_webp_1K.webp,webp_pipe,108080,-1,0,1,0
webp,video,2732,1822,yuv420p,25-Jan,0.04,1,002_webp_2K.webp,webp_pipe,157812,-1,0,1,0
webp,video,910,607,yuv420p,25-Jan,0.04,1,002_webp_480p.webp,webp_pipe,35450,-1,0,1,0
webp,video,4096,2732,yuv420p,25-Jan,0.04,1,002_webp_4K.webp,webp_pipe,291734,-1,0,1,0
webp,video,1366,911,yuv420p,25-Jan,0.04,1,002_webp_720p.webp,webp_pipe,61430,-1,0,1,0
webp,video,8192,5464,yuv420p,25-Jan,0.04,1,002_webp_8K.webp,webp_pipe,1553754,-1,0,1,0
av1,video,2048,1080,yuv420p,30000/1001,10.01,300,003_av1_1K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",5532755,4421782,0,1,299
av1,video,2731,1440,yuv420p,30000/1001,10.01,300,003_av1_2K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",10501747,8393004,0,1,299
av1,video,910,480,yuv420p,30000/1001,10.01,300,003_av1_480p.mp4,"mov,mp4,m4a,3gp,3g2,mj2",2470336,1974294,0,1,299
av1,video,4096,2160,yuv420p,30000/1001,10.01,300,003_av1_4K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",19202651,15346774,0,1,299
av1,video,1365,720,yuv420p,30000/1001,10.01,300,003_av1_720p.mp4,"mov,mp4,m4a,3gp,3g2,mj2",3707284,2962864,0,1,299
av1,video,8192,4320,yuv420p,30000/1001,10.01,300,003_av1_8K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",74659150,59667652,0,1,299
h264,video,2048,1080,yuv420p,30000/1001,10.01,300,003_h264_1K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",12169051,9725515,222,2,76
h264,video,2731,1440,yuv420p,30000/1001,10.01,300,003_h264_2K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",23978630,19163740,222,2,76
h264,video,910,480,yuv420p,30000/1001,10.01,300,003_h264_480p.mp4,"mov,mp4,m4a,3gp,3g2,mj2",5765382,4607697,222,2,76
h264,video,4096,2160,yuv420p,30000/1001,10.01,300,003_h264_4K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",53485737,42745843,222,2,76
h264,video,1365,720,yuv420p,30000/1001,10.01,300,003_h264_720p.mp4,"mov,mp4,m4a,3gp,3g2,mj2",8191543,6546687,222,2,76
h264,video,8192,4320,yuv420p,30000/1001,10.01,300,003_h264_8K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",190715103,152419662,222,2,76
hevc,video,2048,1080,yuv420p,30000/1001,10.01,300,003_hevc_1K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",12660152,10118003,222,2,76
hevc,video,2732,1440,yuv420p,30000/1001,10.01,300,003_hevc_2K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",25580264,20443767,222,2,76
hevc,video,910,480,yuv420p,30000/1001,10.01,300,003_hevc_480p.mp4,"mov,mp4,m4a,3gp,3g2,mj2",5734134,4582724,222,2,76
hevc,video,4096,2160,yuv420p,30000/1001,10.01,300,003_hevc_4K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",58220409,46529797,222,2,76
hevc,video,1366,720,yuv420p,30000/1001,10.01,300,003_hevc_720p.mp4,"mov,mp4,m4a,3gp,3g2,mj2",8237755,6583620,222,2,76
hevc,video,8192,4320,yuv420p,30000/1001,10.01,300,003_hevc_8K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",200115963,159932837,222,2,76
mjpeg,video,2048,1366,yuvj444p,25-Jan,0.04,1,003_mpeg_1K.jpg,image2,194093,-1,0,1,0
mjpeg,video,2732,1822,yuvj444p,25-Jan,0.04,1,003_mpeg_2K.jpg,image2,289070,-1,0,1,0
mjpeg,video,910,607,yuvj444p,25-Jan,0.04,1,003_mpeg_480p.jpg,image2,70069,-1,0,1,0
mjpeg,video,4096,2732,yuvj444p,25-Jan,0.04,1,003_mpeg_4K.jpg,image2,529542,-1,0,1,0
mjpeg,video,1366,911,yuvj444p,25-Jan,0.04,1,003_mpeg_720p.jpg,image2,117911,-1,0,1,0
mjpeg,video,8192,5464,yuvj444p,25-Jan,0.04,1,003_mpeg_8K.jpg,image2,1505566,-1,0,1,0
png,video,2048,1366,rgb48be,25-Jan,0.04,1,003_png_1K.png,png_pipe,16466736,-1,0,1,0
png,video,2732,1822,rgb48be,25-Jan,0.04,1,003_png_2K.png,png_pipe,29327219,-1,0,1,0
png,video,910,607,rgb48be,25-Jan,0.04,1,003_png_480p.png,png_pipe,3259021,-1,0,1,0
png,video,4096,2732,rgb48be,25-Jan,0.04,1,003_png_4K.png,png_pipe,65729874,-1,0,1,0
png,video,1366,911,rgb48be,25-Jan,0.04,1,003_png_720p.png,png_pipe,7333763,-1,0,1,0
png,video,8192,5464,rgb48be,25-Jan,0.04,1,003_png_8K.png,png_pipe,260535956,-1,0,1,0
webp,video,2048,1366,yuv420p,25-Jan,0.04,1,003_webp_1K.webp,webp_pipe,151516,-1,0,1,0
webp,video,2732,1822,yuv420p,25-Jan,0.04,1,003_webp_2K.webp,webp_pipe,237334,-1,0,1,0
webp,video,910,607,yuv420p,25-Jan,0.04,1,003_webp_480p.webp,webp_pipe,45402,-1,0,1,0
webp,video,4096,2732,yuv420p,25-Jan,0.04,1,003_webp_4K.webp,webp_pipe,467510,-1,0,1,0
webp,video,1366,911,yuv420p,25-Jan,0.04,1,003_webp_720p.webp,webp_pipe,81826,-1,0,1,0
webp,video,8192,5464,yuv420p,25-Jan,0.04,1,003_webp_8K.webp,webp_pipe,2324050,-1,0,1,0
av1,video,2048,1080,yuv420p,30000/1001,10.01,300,004_av1_1K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",5531346,4420656,0,1,299
av1,video,2731,1440,yuv420p,30000/1001,10.01,300,004_av1_2K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",10480816,8376276,0,1,299
av1,video,910,480,yuv420p,30000/1001,10.01,300,004_av1_480p.mp4,"mov,mp4,m4a,3gp,3g2,mj2",2431367,1943150,0,1,299
av1,video,4096,2160,yuv420p,30000/1001,10.01,300,004_av1_4K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",19212437,15354595,0,1,299
av1,video,1365,720,yuv420p,30000/1001,10.01,300,004_av1_720p.mp4,"mov,mp4,m4a,3gp,3g2,mj2",3688706,2948016,0,1,299
av1,video,8192,4320,yuv420p,30000/1001,10.01,300,004_av1_8K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",75610651,60428092,0,1,299
h264,video,2048,1080,yuv420p,30000/1001,10.01,300,004_h264_1K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",10949013,8750459,222,2,76
h264,video,2731,1440,yuv420p,30000/1001,10.01,300,004_h264_2K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",20968635,16758149,222,2,76
h264,video,910,480,yuv420p,30000/1001,10.01,300,004_h264_480p.mp4,"mov,mp4,m4a,3gp,3g2,mj2",3410693,2725828,222,2,76
h264,video,4096,2160,yuv420p,30000/1001,10.01,300,004_h264_4K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",46376572,37064193,222,2,76
h264,video,1365,720,yuv420p,30000/1001,10.01,300,004_h264_720p.mp4,"mov,mp4,m4a,3gp,3g2,mj2",6440711,5147421,222,2,76
h264,video,8192,4320,yuv420p,30000/1001,10.01,300,004_h264_8K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",190985126,152635465,220,2,78
hevc,video,2048,1080,yuv420p,30000/1001,10.01,300,004_hevc_1K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",11985424,9578760,222,2,76
hevc,video,2732,1440,yuv420p,30000/1001,10.01,300,004_hevc_2K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",23208819,18548506,222,2,76
hevc,video,910,480,yuv420p,30000/1001,10.01,300,004_hevc_480p.mp4,"mov,mp4,m4a,3gp,3g2,mj2",3262019,2607008,222,2,76
hevc,video,4096,2160,yuv420p,30000/1001,10.01,300,004_hevc_4K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",47995653,38358164,222,2,76
hevc,video,1366,720,yuv420p,30000/1001,10.01,300,004_hevc_720p.mp4,"mov,mp4,m4a,3gp,3g2,mj2",5944336,4750718,222,2,76
hevc,video,8192,4320,yuv420p,30000/1001,10.01,300,004_hevc_8K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",164671465,131605566,222,2,76
mjpeg,video,2048,1366,yuvj444p,25-Jan,0.04,1,004_mpeg_1K.jpg,image2,151722,-1,0,1,0
mjpeg,video,2732,1822,yuvj444p,25-Jan,0.04,1,004_mpeg_2K.jpg,image2,245356,-1,0,1,0
mjpeg,video,910,607,yuvj444p,25-Jan,0.04,1,004_mpeg_480p.jpg,image2,46455,-1,0,1,0
mjpeg,video,4096,2732,yuvj444p,25-Jan,0.04,1,004_mpeg_4K.jpg,image2,453114,-1,0,1,0
mjpeg,video,1366,911,yuvj444p,25-Jan,0.04,1,004_mpeg_720p.jpg,image2,86708,-1,0,1,0
mjpeg,video,8192,5464,yuvj444p,25-Jan,0.04,1,004_mpeg_8K.jpg,image2,1316494,-1,0,1,0
png,video,2048,1366,rgb48be,25-Jan,0.04,1,004_png_1K.png,png_pipe,16197637,-1,0,1,0
png,video,2732,1822,rgb48be,25-Jan,0.04,1,004_png_2K.png,png_pipe,28843354,-1,0,1,0
png,video,910,607,rgb48be,25-Jan,0.04,1,004_png_480p.png,png_pipe,3206230,-1,0,1,0
png,video,4096,2732,rgb48be,25-Jan,0.04,1,004_png_4K.png,png_pipe,64645682,-1,0,1,0
png,video,1366,911,rgb48be,25-Jan,0.04,1,004_png_720p.png,png_pipe,7215773,-1,0,1,0
png,video,8192,5464,rgb48be,25-Jan,0.04,1,004_png_8K.png,png_pipe,256170242,-1,0,1,0
webp,video,2048,1366,yuv420p,25-Jan,0.04,1,004_webp_1K.webp,webp_pipe,106924,-1,0,1,0
webp,video,2732,1822,yuv420p,25-Jan,0.04,1,004_webp_2K.webp,webp_pipe,171422,-1,0,1,0
webp,video,910,607,yuv420p,25-Jan,0.04,1,004_webp_480p.webp,webp_pipe,29804,-1,0,1,0
webp,video,4096,2732,yuv420p,25-Jan,0.04,1,004_webp_4K.webp,webp_pipe,341964,-1,0,1,0
webp,video,1366,911,yuv420p,25-Jan,0.04,1,004_webp_720p.webp,webp_pipe,56548,-1,0,1,0
webp,video,8192,5464,yuv420p,25-Jan,0.04,1,004_webp_8K.webp,webp_pipe,1839174,-1,0,1,0
av1,video,2048,1080,yuv420p,30000/1001,10.01,300,005_av1_1K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",6026551,4816424,0,1,299
av1,video,2731,1440,yuv420p,30000/1001,10.01,300,005_av1_2K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",11585063,9258791,0,1,299
av1,video,910,480,yuv420p,30000/1001,10.01,300,005_av1_480p.mp4,"mov,mp4,m4a,3gp,3g2,mj2",2733361,2184504,0,1,299
av1,video,4096,2160,yuv420p,30000/1001,10.01,300,005_av1_4K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",23942152,19134587,0,1,299
av1,video,1365,720,yuv420p,30000/1001,10.01,300,005_av1_720p.mp4,"mov,mp4,m4a,3gp,3g2,mj2",4063444,3247507,0,1,299
av1,video,8192,4320,yuv420p,30000/1001,10.01,300,005_av1_8K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",92749402,74125396,0,1,299
h264,video,2048,1080,yuv420p,30000/1001,10.01,300,005_h264_1K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",13899052,11108133,222,2,76
h264,video,2731,1440,yuv420p,30000/1001,10.01,300,005_h264_2K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",27947774,22335883,222,2,76
h264,video,910,480,yuv420p,30000/1001,10.01,300,005_h264_480p.mp4,"mov,mp4,m4a,3gp,3g2,mj2",7249718,5793980,222,2,76
h264,video,4096,2160,yuv420p,30000/1001,10.01,300,005_h264_4K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",62557647,49996121,222,2,76
h264,video,1365,720,yuv420p,30000/1001,10.01,300,005_h264_720p.mp4,"mov,mp4,m4a,3gp,3g2,mj2",9303614,7435455,222,2,76
h264,video,8192,4320,yuv420p,30000/1001,10.01,300,005_h264_8K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",210057495,167878117,222,2,76
hevc,video,2048,1080,yuv420p,30000/1001,10.01,300,005_hevc_1K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",13190742,10542051,222,2,76
hevc,video,2732,1440,yuv420p,30000/1001,10.01,300,005_hevc_2K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",26310701,21027533,222,2,76
hevc,video,910,480,yuv420p,30000/1001,10.01,300,005_hevc_480p.mp4,"mov,mp4,m4a,3gp,3g2,mj2",7002418,5596338,222,2,76
hevc,video,4096,2160,yuv420p,30000/1001,10.01,300,005_hevc_4K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",59112846,47243033,222,2,76
hevc,video,1366,720,yuv420p,30000/1001,10.01,300,005_hevc_720p.mp4,"mov,mp4,m4a,3gp,3g2,mj2",9049089,7232039,222,2,76
hevc,video,8192,4320,yuv420p,30000/1001,10.01,300,005_hevc_8K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",197008724,157449529,222,2,76
mjpeg,video,2048,1366,yuvj444p,25-Jan,0.04,1,005_mpeg_1K.jpg,image2,374996,-1,0,1,0
mjpeg,video,2732,1822,yuvj444p,25-Jan,0.04,1,005_mpeg_2K.jpg,image2,559278,-1,0,1,0
mjpeg,video,910,607,yuvj444p,25-Jan,0.04,1,005_mpeg_480p.jpg,image2,108663,-1,0,1,0
mjpeg,video,4096,2732,yuvj444p,25-Jan,0.04,1,005_mpeg_4K.jpg,image2,1036959,-1,0,1,0
mjpeg,video,1366,911,yuvj444p,25-Jan,0.04,1,005_mpeg_720p.jpg,image2,208801,-1,0,1,0
mjpeg,video,8192,5464,yuvj444p,25-Jan,0.04,1,005_mpeg_8K.jpg,image2,2765884,-1,0,1,0
png,video,2048,1366,rgb48be,25-Jan,0.04,1,005_png_1K.png,png_pipe,16534576,-1,0,1,0
png,video,2732,1822,rgb48be,25-Jan,0.04,1,005_png_2K.png,png_pipe,29469530,-1,0,1,0
png,video,910,607,rgb48be,25-Jan,0.04,1,005_png_480p.png,png_pipe,3263197,-1,0,1,0
png,video,4096,2732,rgb48be,25-Jan,0.04,1,005_png_4K.png,png_pipe,66199928,-1,0,1,0
png,video,1366,911,rgb48be,25-Jan,0.04,1,005_png_720p.png,png_pipe,7345051,-1,0,1,0
png,video,8192,5464,rgb48be,25-Jan,0.04,1,005_png_8K.png,png_pipe,261740536,-1,0,1,0
webp,video,2048,1366,yuv420p,25-Jan,0.04,1,005_webp_1K.webp,webp_pipe,544114,-1,0,1,0
webp,video,2732,1822,yuv420p,25-Jan,0.04,1,005_webp_2K.webp,webp_pipe,927778,-1,0,1,0
webp,video,910,607,yuv420p,25-Jan,0.04,1,005_webp_480p.webp,webp_pipe,114548,-1,0,1,0
webp,video,4096,2732,yuv420p,25-Jan,0.04,1,005_webp_4K.webp,webp_pipe,1877496,-1,0,1,0
webp,video,1366,911,yuv420p,25-Jan,0.04,1,005_webp_720p.webp,webp_pipe,248516,-1,0,1,0
webp,video,8192,5464,yuv420p,25-Jan,0.04,1,005_webp_8K.webp,webp_pipe,5749258,-1,0,1,0
av1,video,2048,1080,yuv420p,30000/1001,10.01,300,006_av1_1K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",5027265,4017794,0,1,299
av1,video,2731,1440,yuv420p,30000/1001,10.01,300,006_av1_2K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",10425230,8331852,0,1,299
av1,video,910,480,yuv420p,30000/1001,10.01,300,006_av1_480p.mp4,"mov,mp4,m4a,3gp,3g2,mj2",2398969,1917257,0,1,299
av1,video,4096,2160,yuv420p,30000/1001,10.01,300,006_av1_4K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",20178487,16126662,0,1,299
av1,video,1365,720,yuv420p,30000/1001,10.01,300,006_av1_720p.mp4,"mov,mp4,m4a,3gp,3g2,mj2",3010905,2406317,0,1,299
av1,video,8192,4320,yuv420p,30000/1001,10.01,300,006_av1_8K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",68525338,54765504,0,1,299
h264,video,2048,1080,yuv420p,30000/1001,10.01,300,006_h264_1K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",12991041,10382450,4,2,294
h264,video,2731,1440,yuv420p,30000/1001,10.01,300,006_h264_2K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",26535725,21207372,0,2,298
h264,video,910,480,yuv420p,30000/1001,10.01,300,006_h264_480p.mp4,"mov,mp4,m4a,3gp,3g2,mj2",4930368,3940354,131,2,167
h264,video,4096,2160,yuv420p,30000/1001,10.01,300,006_h264_4K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",59448919,47511623,0,2,298
h264,video,1365,720,yuv420p,30000/1001,10.01,300,006_h264_720p.mp4,"mov,mp4,m4a,3gp,3g2,mj2",8076007,6454351,65,2,233
h264,video,8192,4320,yuv420p,30000/1001,10.01,300,006_h264_8K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",222551586,177863405,0,2,298
hevc,video,2048,1080,yuv420p,30000/1001,10.01,300,006_hevc_1K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",13131713,10494875,222,2,76
hevc,video,2732,1440,yuv420p,30000/1001,10.01,300,006_hevc_2K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",26501955,21180383,222,2,76
hevc,video,910,480,yuv420p,30000/1001,10.01,300,006_hevc_480p.mp4,"mov,mp4,m4a,3gp,3g2,mj2",3720029,2973050,222,2,76
hevc,video,4096,2160,yuv420p,30000/1001,10.01,300,006_hevc_4K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",59151703,47274088,222,2,76
